iteration,max_update,max_residual
412,8.12613570e-06,1.93518104e+01
413,8.06963304e-06,1.93519742e+01
414,8.01354031e-06,1.93521350e+01
415,7.95785432e-06,1.93522927e+01
416,7.90257189e-06,1.93524474e+01
417,7.84768986e-06,1.93525992e+01
418,7.79320513e-06,1.93527480e+01
419,7.73911459e-06,1.93528940e+01
420,7.68541518e-06,1.93530372e+01
421,7.63210386e-06,1.93531776e+01
422,7.57933561e-06,1.93533152e+01
423,7.52704500e-06,1.93534501e+01
424,7.47512882e-06,1.93535824e+01
425,7.42358421e-06,1.93537121e+01
426,7.37240833e-06,1.93538391e+01
427,7.32159836e-06,1.93539636e+01
428,7.27115151e-06,1.93540856e+01
429,7.22106500e-06,1.93542052e+01
430,7.17133610e-06,1.93543222e+01
431,7.12196207e-06,1.93544369e+01
432,7.07294023e-06,1.93545492e+01
433,7.02426789e-06,1.93546592e+01
434,6.97594240e-06,1.93547669e+01
435,6.92796114e-06,1.93548723e+01
436,6.88032148e-06,1.93549755e+01
437,6.83318576e-06,1.93550765e+01
438,6.78643893e-06,1.93551753e+01
439,6.74002199e-06,1.93552720e+01
440,6.69393247e-06,1.93553666e+01
441,6.64816793e-06,1.93554591e+01
442,6.60272594e-06,1.93555495e+01
443,6.55760411e-06,1.93556380e+01
444,6.51280005e-06,1.93557245e+01
445,6.46831138e-06,1.93558090e+01
446,6.42413578e-06,1.93558916e+01
447,6.38027091e-06,1.93559724e+01
448,6.33671447e-06,1.93560512e+01
449,6.29346418e-06,1.93561283e+01
450,6.25051775e-06,1.93562035e+01
451,6.20787295e-06,1.93562769e+01
452,6.16562256e-06,1.93563486e+01
453,6.12376069e-06,1.93564186e+01
454,6.08219034e-06,1.93564868e+01
455,6.04090939e-06,1.93565534e+01
456,5.99991572e-06,1.93566184e+01
457,5.95920724e-06,1.93566817e+01
458,5.91878188e-06,1.93567434e+01
459,5.87863756e-06,1.93568036e+01
460,5.83877225e-06,1.93568622e+01
461,5.79918392e-06,1.93569192e+01
462,5.75987054e-06,1.93569748e+01
463,5.72083014e-06,1.93570289e+01
464,5.68206072e-06,1.93570816e+01
465,5.64356032e-06,1.93571328e+01
466,5.60532699e-06,1.93571826e+01
467,5.56735879e-06,1.93572310e+01
468,5.52977594e-06,1.93572781e+01
469,5.49248930e-06,1.93573238e+01
470,5.45545917e-06,1.93573681e+01
471,5.41868371e-06,1.93574112e+01
472,5.38216110e-06,1.93574530e+01
473,5.34588953e-06,1.93574936e+01
474,5.30986723e-06,1.93575329e+01
475,5.27409240e-06,1.93575709e+01
476,5.23856328e-06,1.93576078e+01
477,5.20327813e-06,1.93576435e+01
478,5.16823520e-06,1.93576780e+01
479,5.13343278e-06,1.93577114e+01
480,5.09886915e-06,1.93577437e+01
481,5.06454262e-06,1.93577748e+01
482,5.03045150e-06,1.93578049e+01
483,4.99659412e-06,1.93578339e+01
484,4.96302202e-06,1.93578618e+01
485,4.92975977e-06,1.93578887e+01
486,4.89672385e-06,1.93579146e+01
487,4.86391269e-06,1.93579395e+01
488,4.83132470e-06,1.93579634e+01
489,4.79895833e-06,1.93579863e+01
490,4.76681202e-06,1.93580083e+01
491,4.73488424e-06,1.93580293e+01
492,4.70317345e-06,1.93580494e+01
493,4.67167814e-06,1.93580686e+01
494,4.64039680e-06,1.93580869e+01
495,4.60932794e-06,1.93581043e+01
496,4.57847008e-06,1.93581209e+01
497,4.54782173e-06,1.93581366e+01
498,4.51738145e-06,1.93581515e+01
499,4.48714777e-06,1.93581655e+01
500,4.45711927e-06,1.93581788e+01
501,4.42732046e-06,1.93581913e+01
502,4.39780829e-06,1.93582029e+01
503,4.36849499e-06,1.93582139e+01
504,4.33937919e-06,1.93582240e+01
505,4.31045952e-06,1.93582335e+01
506,4.28173464e-06,1.93582422e+01
507,4.25320320e-06,1.93582502e+01
508,4.22486388e-06,1.93582575e+01
509,4.19671535e-06,1.93582641e+01
510,4.16875631e-06,1.93582700e+01
511,4.14098544e-06,1.93582753e+01
512,4.11340147e-06,1.93582799e+01
513,4.08600310e-06,1.93582839e+01
514,4.05878907e-06,1.93582872e+01
515,4.03175810e-06,1.93582900e+01
516,4.00490894e-06,1.93582921e+01
517,3.97824035e-06,1.93582936e+01
518,3.95175108e-06,1.93582946e+01
519,3.92544688e-06,1.93582950e+01
520,3.89953688e-06,1.93582948e+01
521,3.87399013e-06,1.93582940e+01
522,3.84861018e-06,1.93582928e+01
523,3.82339596e-06,1.93582909e+01
524,3.79834638e-06,1.93582886e+01
525,3.77346037e-06,1.93582858e+01
526,3.74873688e-06,1.93582824e+01
527,3.72417483e-06,1.93582786e+01
528,3.69977318e-06,1.93582743e+01
529,3.67553090e-06,1.93582695e+01
530,3.65144693e-06,1.93582642e+01
531,3.62752026e-06,1.93582585e+01
532,3.60374986e-06,1.93582523e+01
533,3.58013471e-06,1.93582457e+01
534,3.55667380e-06,1.93582387e+01
535,3.53336613e-06,1.93582312e+01
536,3.51021070e-06,1.93582233e+01
537,3.48720653e-06,1.93582150e+01
538,3.46435262e-06,1.93582064e+01
539,3.44164801e-06,1.93581973e+01
540,3.41909171e-06,1.93581879e+01
541,3.39668277e-06,1.93581780e+01
542,3.37442023e-06,1.93581679e+01
543,3.35230313e-06,1.93581573e+01
544,3.33033053e-06,1.93581464e+01
545,3.30850149e-06,1.93581352e+01
546,3.28681507e-06,1.93581236e+01
547,3.26527035e-06,1.93581117e+01
548,3.24386640e-06,1.93580995e+01
549,3.22260231e-06,1.93580870e+01
550,3.20147717e-06,1.93580741e+01
551,3.18049008e-06,1.93580610e+01
552,3.15964013e-06,1.93580476e+01
553,3.13892644e-06,1.93580338e+01
554,3.11835775e-06,1.93580198e+01
555,3.09794565e-06,1.93580056e+01
556,3.07766657e-06,1.93579910e+01
557,3.05751965e-06,1.93579762e+01
558,3.03750404e-06,1.93579611e+01
559,3.01761888e-06,1.93579458e+01
560,2.99786334e-06,1.93579302e+01
561,2.97823658e-06,1.93579144e+01
562,2.95873775e-06,1.93578984e+01
563,2.93936603e-06,1.93578821e+01
564,2.92012060e-06,1.93578656e+01
565,2.90100065e-06,1.93578489e+01
566,2.88200535e-06,1.93578320e+01
567,2.86313391e-06,1.93578148e+01
568,2.84438551e-06,1.93577975e+01
569,2.82575937e-06,1.93577800e+01
570,2.80725468e-06,1.93577623e+01
571,2.78887067e-06,1.93577443e+01
572,2.77060656e-06,1.93577263e+01
573,2.75246155e-06,1.93577080e+01
574,2.73443490e-06,1.93576896e+01
575,2.71652582e-06,1.93576710e+01
576,2.69873355e-06,1.93576522e+01
577,2.68105735e-06,1.93576333e+01
578,2.66349645e-06,1.93576142e+01
579,2.64605011e-06,1.93575949e+01
580,2.62871759e-06,1.93575756e+01
581,2.61149815e-06,1.93575560e+01
582,2.59439106e-06,1.93575364e+01
583,2.57739558e-06,1.93575166e+01
584,2.56051100e-06,1.93574967e+01
585,2.54373659e-06,1.93574766e+01
586,2.52707165e-06,1.93574565e+01
587,2.51051546e-06,1.93574362e+01
588,2.49406732e-06,1.93574158e+01
589,2.47772652e-06,1.93573953e+01
590,2.46149237e-06,1.93573747e+01
591,2.44536419e-06,1.93573540e+01
592,2.42934127e-06,1.93573332e+01
593,2.41342295e-06,1.93573122e+01
594,2.39760853e-06,1.93572912e+01
595,2.38189735e-06,1.93572701e+01
596,2.36628874e-06,1.93572490e+01
597,2.35078203e-06,1.93572277e+01
598,2.33539212e-06,1.93572064e+01
599,2.32010597e-06,1.93571850e+01
600,2.30491940e-06,1.93571635e+01
601,2.28983177e-06,1.93571419e+01
602,2.27484243e-06,1.93571203e+01
603,2.25995077e-06,1.93570986e+01
604,2.24515613e-06,1.93570769e+01
605,2.23045790e-06,1.93570551e+01
606,2.21585546e-06,1.93570332e+01
607,2.20134817e-06,1.93570113e+01
608,2.18693544e-06,1.93569893e+01
609,2.17261664e-06,1.93569673e+01
610,2.15839118e-06,1.93569452e+01
611,2.14425844e-06,1.93569231e+01
612,2.13021782e-06,1.93569010e+01
613,2.11626874e-06,1.93568788e+01
614,2.10241059e-06,1.93568566e+01
615,2.08864280e-06,1.93568344e+01
616,2.07496477e-06,1.93568121e+01
617,2.06137593e-06,1.93567898e+01
618,2.04787569e-06,1.93567675e+01
619,2.03446349e-06,1.93567451e+01
620,2.02113875e-06,1.93567227e+01
621,2.00790091e-06,1.93567004e+01
622,1.99474941e-06,1.93566779e+01
623,1.98168369e-06,1.93566555e+01
624,1.96870319e-06,1.93566331e+01
625,1.95580735e-06,1.93566106e+01
626,1.94299564e-06,1.93565882e+01
627,1.93026751e-06,1.93565657e+01
628,1.91762242e-06,1.93565433e+01
629,1.90505982e-06,1.93565208e+01
630,1.89257918e-06,1.93564983e+01
631,1.88017998e-06,1.93564759e+01
632,1.86786169e-06,1.93564534e+01
633,1.85562377e-06,1.93564309e+01
634,1.84346572e-06,1.93564085e+01
635,1.83138701e-06,1.93563860e+01
636,1.81938713e-06,1.93563636e+01
637,1.80746556e-06,1.93563412e+01
638,1.79562181e-06,1.93563187e+01
639,1.78385537e-06,1.93562963e+01
640,1.77216572e-06,1.93562740e+01
641,1.76055239e-06,1.93562516e+01
642,1.74901487e-06,1.93562292e+01
643,1.73755267e-06,1.93562069e+01
644,1.72616530e-06,1.93561846e+01
645,1.71485228e-06,1.93561623e+01
646,1.70361313e-06,1.93561400e+01
647,1.69244736e-06,1.93561178e+01
648,1.68135450e-06,1.93560956e+01
649,1.67033408e-06,1.93560734e+01
650,1.65938563e-06,1.93560512e+01
651,1.64850867e-06,1.93560291e+01
652,1.63770276e-06,1.93560070e+01
653,1.62696742e-06,1.93559849e+01
654,1.61630639e-06,1.93559629e+01
655,1.60572044e-06,1.93559409e+01
656,1.59520352e-06,1.93559190e+01
657,1.58475519e-06,1.93558970e+01
658,1.57437500e-06,1.93558751e+01
659,1.56406250e-06,1.93558533e+01
660,1.55381727e-06,1.93558315e+01
661,1.54363887e-06,1.93558097e+01
662,1.53352686e-06,1.93557880e+01
663,1.52348082e-06,1.93557663e+01
664,1.51350032e-06,1.93557447e+01
665,1.50358492e-06,1.93557231e+01
666,1.49373422e-06,1.93557016e+01
667,1.48394779e-06,1.93556801e+01
668,1.47422522e-06,1.93556586e+01
669,1.46456609e-06,1.93556372e+01
670,1.45497000e-06,1.93556158e+01
671,1.44543652e-06,1.93555945e+01
672,1.43596527e-06,1.93555733e+01
673,1.42655583e-06,1.93555521e+01
674,1.41720780e-06,1.93555309e+01
675,1.40792079e-06,1.93555098e+01
676,1.39869440e-06,1.93554888e+01
677,1.38952824e-06,1.93554678e+01
678,1.38042192e-06,1.93554468e+01
679,1.37137504e-06,1.93554260e+01
680,1.36238723e-06,1.93554051e+01
681,1.35345810e-06,1.93553844e+01
682,1.34458727e-06,1.93553636e+01
683,1.33577437e-06,1.93553430e+01
684,1.32701901e-06,1.93553224e+01
685,1.31832083e-06,1.93553018e+01
686,1.30967944e-06,1.93552814e+01
687,1.30109450e-06,1.93552609e+01
688,1.29256562e-06,1.93552406e+01
689,1.28409244e-06,1.93552203e+01
690,1.27567461e-06,1.93552000e+01
691,1.26731177e-06,1.93551799e+01
692,1.25900355e-06,1.93551598e+01
693,1.25074960e-06,1.93551397e+01
694,1.24254957e-06,1.93551197e+01
695,1.23440312e-06,1.93550998e+01
696,1.22630989e-06,1.93550799e+01
697,1.21826953e-06,1.93550601e+01
