rho,z,V_numerical,V_analytical,epsilon
0.01250000,0.03750000,0.02635483,0.11213398,2.00000000
0.01250000,0.05000000,0.02930657,0.12108648,2.00000000
0.01250000,0.06250000,0.03255973,0.13073435,2.00000000
0.01250000,0.07500000,0.03616788,0.14121842,2.00000000
0.01250000,0.08750000,0.04020425,0.15270893,2.00000000
0.01250000,0.10000000,0.04476418,0.16541515,2.00000000
0.01250000,0.11250000,0.04997135,0.17959883,2.00000000
0.01250000,0.12500000,0.05598820,0.19559304,2.00000000
0.01250000,0.13750000,0.06303185,0.21382968,2.00000000
0.01250000,0.15000000,0.07139898,0.23488020,2.00000000
0.01250000,0.16250000,0.08150535,0.25951813,2.00000000
0.01250000,0.17500000,0.09395105,0.28881792,2.00000000
0.01250000,0.18750000,0.10963260,0.32431743,2.00000000
0.01250000,0.20000000,0.12994544,0.36829728,2.00000000
0.01250000,0.21250000,0.15716993,0.42428700,2.00000000
0.01250000,0.22500000,0.19524686,0.49804270,2.00000000
0.01250000,0.23750000,0.25132417,0.59958853,2.00000000
0.01250000,0.25000000,0.33803648,0.74790671,2.00000000
0.01250000,0.26250000,0.47223517,0.98301155,2.00000000
0.01250000,0.27500000,0.65625785,1.40046460,2.00000000
0.01250000,0.28750000,0.83937555,2.22822073,2.00000000
0.01250000,0.30000000,0.91970925,3.16099880,2.00000000
0.01250000,0.31250000,0.83954827,2.22914156,2.00000000
0.01250000,0.32500000,0.65660401,1.40230867,2.00000000
0.01250000,0.33750000,0.47275619,0.98578367,2.00000000
0.01250000,0.35000000,0.33873450,0.75161416,2.00000000
0.01250000,0.36250000,0.25220209,0.60424112,2.00000000
0.01250000,0.37500000,0.19630836,0.50365284,2.00000000
0.01250000,0.38750000,0.15841949,0.43086984,2.00000000
0.01250000,0.40000000,0.13138842,0.37587083,2.00000000
0.01250000,0.41250000,0.11127526,0.33290272,2.00000000
0.01250000,0.42500000,0.09580063,0.29843922,2.00000000
0.01250000,0.43750000,0.08357017,0.27020320,2.00000000
0.01250000,0.45000000,0.07368847,0.24666055,2.00000000
0.01250000,0.46250000,0.06555669,0.22674089,2.00000000
0.01250000,0.47500000,0.05876039,0.20967519,2.00000000
0.01250000,0.48750000,0.05300433,0.19489692,2.00000000
0.01250000,0.50000000,0.04807286,0.18197964,2.00000000
0.01250000,0.51250000,0.04380506,0.17059635,2.00000000
0.01250000,0.52500000,0.04007858,0.16049214,2.00000000
0.01250000,0.53750000,0.03679880,0.15146541,2.00000000
0.01250000,0.55000000,0.03389153,0.14335463,2.00000000
0.01250000,0.56250000,0.03129776,0.13602890,2.00000000
0.01250000,0.57500000,0.02897003,0.12938101,2.00000000
0.01250000,0.58750000,0.02686978,0.12332234,2.00000000
0.01250000,0.60000000,0.02496533,0.11777899,2.00000000
0.01250000,0.61250000,0.02323045,0.11268888,2.00000000
0.01250000,0.62500000,0.02164323,0.10799945,2.00000000
0.01250000,0.63750000,0.02018525,0.10366593,2.00000000
0.01250000,0.65000000,0.01884089,0.09964992,2.00000000
0.01250000,0.66250000,0.01759683,0.09591834,2.00000000
0.01250000,0.67500000,0.01644164,0.09244253,2.00000000
0.01250000,0.68750000,0.01536547,0.08919751,2.00000000
0.01250000,0.70000000,0.01435974,0.08616143,2.00000000
0.01250000,0.71250000,0.01341700,0.08331511,2.00000000
0.01250000,0.72500000,0.01253069,0.08064162,2.00000000
